R2all,d2,k2,k3,k7
0.852970499,2.013342671,0.000303354,0.000459727,11.15200167
0.8527907,11.27020723,0.000320959,0.002420472,1.20960879
0.852662002,5.282375695,0.000899808,0.000406724,1.835439188
0.852554518,1.171149352,0.000285463,0.000284381,8.211299874
0.852498352,7.621894924,0.000264332,0.001992049,1.316961156
0.852469694,1.287289578,0.000256065,0.000348418,3.004518413
0.852375193,3.737713889,0.000733415,0.000353753,24.75084599
0.852206182,7.289750575,0.000879934,0.000491021,18.91896913
0.852167373,4.000815089,0.000226804,0.001220956,1.227429496
0.852097775,19.92276956,0.000163061,0.008470324,25.9138049
0.851918932,22.25890852,0.000839363,0.001563508,2.721389102
0.85186055,5.984662118,0.00061045,0.000578762,1.316065612
0.851843619,1.377434531,0.000545821,0.000149314,1.970660603
0.851812473,19.53360532,0.000837819,0.001619198,15.34809616
0.85167079,8.301158395,0.000364712,0.00134555,9.988357935
0.851582988,7.713169613,0.000168248,0.00270832,8.679385719
0.851477118,1.917762686,0.000420678,0.000316446,1.599250846
0.851442632,2.196504019,0.000162536,0.00093821,8.828249438
0.851219717,3.545770928,0.000540692,0.000454883,1.009397172
0.851124551,15.39514985,0.000778485,0.001162251,1.41302347
0.85105871,3.540950262,0.000569443,0.000432414,15.35854009
0.850919512,19.11299879,0.000442232,0.002546244,4.397566852
0.850913661,6.206472472,0.000156009,0.00234801,24.83517182
0.850760451,5.389448191,0.000182075,0.002055417,2.962911453
0.850582953,23.29685461,0.000302169,0.005356733,12.06763147
0.850527904,2.491914865,0.000371321,0.000466767,4.694325269
0.850047321,1.400106746,0.000114117,0.000722936,12.34998594
0.850047206,26.58334295,0.000262997,0.006951844,1.05252077
0.850032776,1.113276843,0.000399163,0.000194223,22.09297483
0.84992324,10.00195613,0.000149194,0.003947299,10.79008211
0.849873727,6.074897709,0.0001622,0.002603155,2.318559419
0.849797725,2.531208724,0.000667806,0.000223512,16.22301568
0.849547522,18.85473129,0.000432663,0.002565075,14.00618795
0.849170129,1.909301908,0.000566957,0.000198198,2.244840962
0.84888738,24.9028393,0.000170982,0.00851334,2.343932054
0.8483254,4.241846661,0.000132755,0.0018737,1.743554267
0.848189458,8.116890748,0.000400452,0.001414816,7.658274466
0.848030785,2.094364678,0.000250755,0.000490343,7.668700477
0.847825054,2.333591104,0.000285792,0.000478961,2.230380954
0.84777905,7.043584744,0.000305176,0.001612501,24.25086982
0.847760167,6.223383018,0.000676317,0.000643428,16.03649214
0.84772395,7.434982867,0.000296176,0.001752669,5.209224673
0.847643773,1.831074502,0.000277428,0.000387168,3.753000307
0.847401486,1.064762843,0.000215948,0.000344588,3.598009422
0.84734504,17.48349508,0.000937886,0.001304067,10.42216904
0.847251713,2.053454108,0.000392961,0.000306408,4.757008762
0.847002392,2.828979651,0.000321699,0.000615035,5.354732387
0.846815879,13.14309909,0.000254419,0.003024823,15.39514985
0.846602112,1.501723047,0.000738159,0.000119261,5.441018981
0.846493144,16.5687498,0.000320664,0.003004,1.263432622
0.846470736,17.68083436,0.000205707,0.005971728,1.267306013
0.846016039,22.10049037,0.000161343,0.009587381,18.62527573
0.845849437,3.727557551,0.000132938,0.001637948,2.829942007
0.845818269,13.04068496,0.000243024,0.003743691,1.706591606
0.845655558,1.347316654,0.000247429,0.0003182,2.082289929
0.845198305,12.75988697,0.000910437,0.000980167,1.689266779
0.845195293,8.004486994,0.000176056,0.003184931,4.403553721
0.845098285,2.481764999,0.000102012,0.001420038,7.014895385
0.845087204,18.73965232,0.000272678,0.00400959,11.04254491
0.844979709,2.818415316,0.000815361,0.000242717,3.194206966
0.844691102,6.796478869,0.000335699,0.001419384,2.943826038
0.844646751,22.96642409,0.000562277,0.002370828,2.137543848
0.844326399,8.440663657,0.000209387,0.002350174,18.51159724
0.844089688,12.95227811,0.000782799,0.000964495,5.919879246
0.843903944,13.68131408,0.000586206,0.001640968,26.91999301
0.843882627,12.96109176,0.000812363,0.00112176,8.964408549
0.843855729,29.38899068,0.000817805,0.002078261,1.76083686
0.843693549,3.853897375,0.000150366,0.001492451,9.716937623
0.843681333,1.050017869,0.000171494,0.000430229,3.020913318
0.843597308,1.420250849,0.000342334,0.000241713,14.78951356
0.843518285,3.508581742,0.000639661,0.00038539,1.384950847
0.843487134,5.944090233,0.000542813,0.000770371,14.71425262
0.843424661,21.02268716,0.000257306,0.004708689,1.030908772
0.843397231,15.83594654,0.000773304,0.001193164,16.43405169
0.8433537,2.720463661,0.000150852,0.001267944,16.17893354
0.843188124,2.209992605,0.000879326,0.000146319,1.187191469
0.842978083,19.48052744,0.000765156,0.001790194,5.986697966
0.842890925,2.116563881,0.000110091,0.001352384,7.861488088
0.842782728,4.42607716,0.000510681,0.000504313,10.73152287
0.842747228,1.037239515,0.000724519,0.000100856,2.406947203
0.842265147,3.664702725,0.000140621,0.00151391,14.42192366
0.842150335,8.786312097,0.000733078,0.000694864,1.622812001
0.84195891,4.828734031,0.000123666,0.002265166,3.260061402
0.841933892,6.775706129,0.00097174,0.000405229,3.917331526
0.841880677,2.46577886,0.00072252,0.000240713,4.75215738
0.841359309,2.462426501,0.00025064,0.000570033,14.26580898
0.841055832,1.394878289,0.000214363,0.000459092,25.9932506
0.841026005,1.141264112,0.000184693,0.000435813,2.615220565
0.840885144,3.095804569,0.000752056,0.000238506,1.11214148
0.840792082,18.0453572,0.000138596,0.009164315,4.173157569
0.840743874,1.690416276,0.000297201,0.000401513,11.85204512
0.840473349,4.888222001,0.000819125,0.000346019,5.257282522
0.839789918,25.27831955,0.000440504,0.004011437,1.081920518
0.839758394,10.04969578,0.000209098,0.00337987,1.151009648
0.839452273,19.49378338,0.000642022,0.002147336,14.65930479
0.839391893,1.373691684,0.000346378,0.000229351,2.69834725
0.839360467,4.27079974,0.000461371,0.000535427,7.645261882
0.839040399,2.335973421,0.00048012,0.000344112,1.762634463
0.838883646,2.289564494,0.000730718,0.000221973,15.72324104
0.838737586,5.302175753,0.000420485,0.000728618,12.51489575
0.838218581,1.231611334,0.00017396,0.000501303,5.696674141
0.838143038,3.275621777,0.000538952,0.000350833,3.623800253
0.838094539,5.974493259,0.000153126,0.002762485,11.32014942
0.838072741,13.91596793,0.000680848,0.00144112,1.385893265
0.838050645,3.543359775,0.000191801,0.00106586,15.4423478
0.837044062,2.347921533,0.000348779,0.000477639,24.4745969
0.837006947,5.137086655,0.000113123,0.00261517,25.78193462
0.836966119,3.550598158,0.000495507,0.000508511,7.442573092
0.836929255,2.269406876,0.000154365,0.000846642,12.42160084
0.836885613,2.200242569,0.000786412,0.000198564,1.519189878
0.836850791,14.40231628,0.000413095,0.002006781,8.397710774
0.836796576,5.58919805,0.000664584,0.000596898,4.469949662
0.836783721,4.495869934,0.00055892,0.000463554,20.71746463
0.836745506,2.816498771,0.000497107,0.000402254,11.32400028
0.83642898,1.98681269,0.000159166,0.00071829,9.927394461
0.836362634,2.275590245,0.00052511,0.000249287,1.336363444
0.83632148,17.30600767,0.00017336,0.007077828,8.188987642
0.835831184,1.462904623,0.000910647,0.000114314,22.17578647
0.835810568,1.821756523,0.000322887,0.000400774,2.97907932
0.835721338,2.27326951,0.000101356,0.001287953,1.70253332
0.835606658,8.097588731,0.000353794,0.001315528,12.5831864
0.835474257,6.537998079,0.000276853,0.001678418,21.14459317
0.835345652,1.633333016,0.000142709,0.000813392,10.65152249
0.835001057,2.439916978,0.000200332,0.000865964,7.640063041
0.834790551,10.01216693,0.000115731,0.006130558,1.637783298
0.834762036,4.812338451,0.000660922,0.000517249,1.248906351
0.834387509,26.25090289,0.000269867,0.006916717,14.91073256
0.834301599,1.358821723,0.000177726,0.000543876,1.891848605
0.834225177,8.741600277,0.000295767,0.002099423,2.272496457
0.834067118,18.61261039,0.000413476,0.002559175,1.081552598
0.834039064,3.414401818,0.000413571,0.000587895,5.675400897
0.833992859,14.51542389,0.000999425,0.000833489,9.417592603
0.833973964,1.990871355,0.000109989,0.001288546,20.40973062
0.833876101,1.167172808,0.000150713,0.000551442,21.72782745
0.833805525,8.169514179,0.000119001,0.004885399,8.072839283
0.833231383,1.487995503,0.000609326,0.000139991,17.57889814
0.832957224,2.292681518,0.000290569,0.000451128,1.087824288
0.832668114,14.28037266,0.000603184,0.001689274,17.25311363
0.832159466,9.01945839,0.000192952,0.003322768,1.358821723
0.832044303,3.855208384,0.000576169,0.000382737,8.443534982
0.831324918,12.92147751,0.000132449,0.005560323,4.518865555
0.831162519,1.653454991,0.000292921,0.000403367,10.54697793
0.831132236,5.193303212,0.000189955,0.00195299,13.6627136
0.831105357,2.56762661,0.000147079,0.000996093,4.582322145
0.8310958,3.772196274,0.000117179,0.001836961,12.15000009
0.831040489,8.918790431,0.000329344,0.00154561,13.9681295
0.831024402,7.247722599,0.000259508,0.001993885,4.065284549
0.831019438,2.174205743,0.000108231,0.001433178,1.036181698
0.830959311,11.01628566,0.000605132,0.001036812,2.200991042
0.830698357,17.8986548,0.000203493,0.004973934,1.065849838
0.83034783,4.626169671,0.000724353,0.000456352,1.397252436
